order id,,,date,total,shipping,shipping_refund,gift,VAT,GST,PST,refund
701-1942316-2231410,,,2021-05-21,CDN$62.97,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 62.97,0,CDN$ 0.00,0
701-2315281-3736247,,,2021-05-16,CDN$106.43,CDN$ 0.00,0,0,CDN$ 98.56,0,CDN$ 0.00,0
701-6822387-0801853,,,2021-05-02,CDN$73.97,CDN$ 0.00,0,0,CDN$ 73.97,0,CDN$ 0.00,0
701-4903187-6228229,,,2021-05-02,CDN$52.58,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 48.81,0,CDN$ 0.00,0
701-9211491-8163441,,,2021-05-01,CDN$47.98,CDN$ 0.00,0,0,CDN$ 47.98,0,CDN$ 0.00,0
701-4857452-2141836,,,2021-04-30,CDN$71.26,CDN$ 0.00,0,0,CDN$ 67.32,0,CDN$ 0.00,0
701-5319320-5262646,,,2021-04-22,CDN$237.91,CDN$ 0.00,0,0,CDN$ 237.91,0,CDN$ 0.00,0
701-9058300-1621807,,,2021-04-02,CDN$31.62,CDN$ 6.99,0,0,CDN$ 27.98,0,CDN$ 0.00,0
701-2182757-0525010,,,2021-04-02,CDN$21.49,CDN$ 0.00,0,0,CDN$ 21.49,0,CDN$ 0.00,0
701-9678056-7278654,,,2021-03-27,CDN$29.99,CDN$ 0.00,0,0,CDN$ 29.99,0,CDN$ 0.00,0
701-7969281-9934630,,,2021-03-21,CDN$23.99,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 23.99,0,CDN$ 0.00,0
701-8257471-1428205,,,2021-03-06,CDN$31.62,CDN$ 0.00,0,CDN$ 4.99,CDN$ 27.98,0,CDN$ 0.00,0
701-4207325-9441839,,,2021-03-06,CDN$21.99,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 21.99,0,CDN$ 0.00,0
701-3373926-6429038,,,2021-03-04,CDN$25.30,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 25.30,0,CDN$ 0.00,0
702-7946740-7069066,,,2021-09-17,CDN$61.33,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 54.27,0,CDN$ 0.00,0
702-4668682-6657049,,,2021-09-17,CDN$146.89,CDN$ 0.00,0,0,CDN$ 129.99,0,CDN$ 0.00,0
702-2888394-1511450,,,2021-09-14,CDN$19.70,CDN$ 0.00,0,0,CDN$ 19.70,0,CDN$ 0.00,0
702-0146740-7009007,,,2021-09-14,CDN$47.44,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 41.98,0,CDN$ 0.00,0
702-7121446-4863408,,,2021-09-10,CDN$70.55,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 62.43,0,CDN$ 0.00,0
702-6999077-5555420,,,2021-09-03,CDN$33.89,CDN$ 0.00,0,0,CDN$ 29.99,0,CDN$ 0.00,0
702-1027976-9401013,,,2021-09-02,CDN$55.74,CDN$ 0.00,0,0,CDN$ 49.33,0,CDN$ 0.00,0
702-2149287-8485819,,,2021-08-16,CDN$46.31,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 40.98,0,CDN$ 0.00,0
702-8806901-3734627,,,2021-08-12,CDN$67.98,CDN$ 12.98,0,0,CDN$ 67.98,0,CDN$ 0.00,0
702-7152957-9923422,,,2021-08-12,CDN$22.54,CDN$ 0.00,0,0,CDN$ 19.95,0,CDN$ 0.00,0
701-9743399-3115466,,,2022-10-16,CDN$70.04,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 61.98,0,CDN$ 0.00,0
701-0892270-9089014,,,2022-10-16,CDN$30.47,CDN$ 0.00,0,0,CDN$ 31.38,0,CDN$ 0.00,0
701-0115099-0908264,,,2022-09-30,CDN$38.41,CDN$ 0.00,0,0,CDN$ 33.99,0,CDN$ 0.00,0
701-8492095-0875426,,,2022-09-25,CDN$79.01,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 69.92,0,CDN$ 0.00,0
701-2262138-9056269,,,2022-09-25,CDN$280.20,CDN$ 0.00,0,0,CDN$ 249.99,0,CDN$ 0.00,0
701-5823067-6852226,,,2022-09-23,CDN$40.19,CDN$ 0.00,0,0,CDN$ 35.99,0,CDN$ 0.00,0
701-4876742-0352246,,,2022-09-17,CDN$40.86,CDN$ 0.00,0,0,CDN$ 39.98,0,CDN$ 0.00,0
701-9685766-7632263,,,2022-08-31,CDN$42.30,CDN$ 0.00,0,0,CDN$ 38.99,0,CDN$ 0.00,0
701-1945801-3744224,,,2022-08-15,CDN$127.99,CDN$ 20.00,0,0,CDN$ 127.99,0,CDN$ 0.00,0
701-4638188-8365063,,,2022-08-13,CDN$35.78,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 40.99,0,CDN$ 0.00,0
701-2263103-0717064,,,2022-07-29,CDN$48.58,CDN$ 0.00,0,0,CDN$ 42.99,0,CDN$ 0.00,0
701-7285485-0206666,,,2022-07-23,CDN$41.80,CDN$ 0.00,0,0,CDN$ 36.99,0,CDN$ 0.00,0
701-5561581-6232213,,,2022-07-23,CDN$44.05,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 38.98,0,CDN$ 0.00,0
701-9195536-2063456,,,2022-07-15,CDN$86.97,CDN$ 0.00,0,0,CDN$ 76.96,0,CDN$ 0.00,0
701-1986341-2985859,,,2022-07-05,CDN$50.84,CDN$ 0.00,0,0,CDN$ 44.99,0,CDN$ 0.00,0
701-5933577-9131403,,,2022-06-28,CDN$22.59,CDN$ 0.00,0,0,CDN$ 19.99,0,CDN$ 0.00,0
701-7023505-7376248,,,2022-06-26,CDN$11.76,CDN$ 0.00,0,0,CDN$ 14.99,0,CDN$ 0.00,0
701-4597286-3800232,,,2022-06-26,CDN$86.99,CDN$ 20.00,0,0,CDN$ 86.99,0,CDN$ 0.00,0
701-0862730-3549006,,,2022-06-26,CDN$27.08,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 23.96,0,CDN$ 0.00,0
701-0081045-0525815,,,2022-06-16,CDN$22.59,CDN$ 0.00,0,0,CDN$ 19.99,0,CDN$ 0.00,0
701-7858766-0534627,,,2022-06-10,CDN$101.69,CDN$ 0.00,0,0,CDN$ 89.99,0,CDN$ 0.00,0
701-2780163-8644256,,,2022-06-10,CDN$55.31,CDN$ 0.00,0,0,CDN$ 52.04,0,CDN$ 0.00,0
701-0425624-7277838,,,2022-06-05,CDN$45.19,CDN$ 0.00,0,0,CDN$ 39.99,0,CDN$ 0.00,0
701-5623425-4372269,,,2022-05-31,CDN$24.64,CDN$ 0.00,0,0,CDN$ 69.48,0,CDN$ 0.00,CDN$ 0.27
701-0086789-1659427,,,2022-05-31,CDN$11.29,CDN$ 0.00,0,0,CDN$ 9.99,0,CDN$ 0.00,0
701-6304199-6519438,,,2022-05-17,CDN$30.50,CDN$ 0.00,0,0,CDN$ 26.99,0,CDN$ 0.00,0
701-9038106-4621827,,,2022-05-14,CDN$113.05,CDN$ 0.00,0,0,CDN$ 110.46,0,CDN$ 0.00,0
701-8532441-2238625,,,2022-05-14,CDN$13.14,CDN$ 0.00,0,0,CDN$ 11.63,0,CDN$ 0.00,0
701-3716793-8700211,,,2022-05-14,CDN$114.08,CDN$ 6.99,-CDN$ 6.99,0,CDN$ 100.95,0,CDN$ 0.00,0
701-9735202-6071467,,,2022-05-11,CDN$42.28,CDN$ 0.00,0,0,CDN$ 37.42,0,CDN$ 0.00,0
701-2125424-4490669,,,2022-05-05,CDN$33.88,CDN$ 0.00,0,0,CDN$ 29.98,0,CDN$ 0.00,0
701-8832730-0553004,,,2022-04-24,CDN$44.06,CDN$ 0.00,0,0,CDN$ 38.99,0,CDN$ 0.00,0
701-5797896-4469009,,,2022-02-28,CDN$13.55,CDN$ 0.00,0,0,CDN$ 11.99,0,CDN$ 0.00,0
701-1828027-3899452,,,2022-02-19,CDN$12.42,CDN$ 0.00,0,0,CDN$ 10.99,0,CDN$ 0.00,0
701-6365639-6679417,,,2022-02-09,CDN$28.24,CDN$ 0.00,0,0,CDN$ 24.99,0,CDN$ 0.00,0
701-4173391-8093019,,,2022-02-03,CDN$62.13,CDN$ 0.00,0,0,CDN$ 54.98,0,CDN$ 0.00,0
701-2375140-7179426,,,2022-01-30,CDN$12.42,CDN$ 0.00,0,0,CDN$ 10.99,0,CDN$ 0.00,0
